,year,hregion,spc,total,pop,den
41,2015,เขตสุขภาพที่ 11,Internal Medicine,101.0,4405448,2.2926158701680284
42,2015,เขตสุขภาพที่ 11,Neurosurgery,15.0,4405448,0.3404875054704993
43,2015,เขตสุขภาพที่ 11,Ophthalmology,35.0,4405448,0.7944708460978316
44,2015,เขตสุขภาพที่ 11,Orthopedic,40.0,4405448,0.9079666812546647
45,2015,เขตสุขภาพที่ 11,Otolaryngology,26.0,4405448,0.590178342815532
46,2015,เขตสุขภาพที่ 11,Pathology,5.0,4405448,0.11349583515683309
47,2015,เขตสุขภาพที่ 11,Pediatrics,64.0,4405448,1.4527466900074635
48,2015,เขตสุขภาพที่ 11,Physician,963.0,4405448,21.859297851206055
49,2015,เขตสุขภาพที่ 11,Preventive Medicine,13.0,4405448,0.295089171407766
50,2015,เขตสุขภาพที่ 11,Psychiatry,21.0,4405448,0.47668250765869896
51,2015,เขตสุขภาพที่ 11,Radiology,26.0,4405448,0.590178342815532
52,2015,เขตสุขภาพที่ 11,Rehabilitation Medicine,9.0,4405448,0.20429250328229956
53,2015,เขตสุขภาพที่ 11,Surgery,65.0,4405448,1.4754458570388302
54,2015,เขตสุขภาพที่ 12,Anesthesiology,44.0,4885260,0.9006685416948125
55,2015,เขตสุขภาพที่ 12,Emergency Medicine,11.0,4885260,0.22516713542370312
56,2015,เขตสุขภาพที่ 12,Family Medicine,28.0,4885260,0.5731527083512443
57,2015,เขตสุขภาพที่ 12,General Practitioner,86.0,4885260,1.760397604221679
58,2015,เขตสุขภาพที่ 12,Gynecology,77.0,4885260,1.576169947965922
59,2015,เขตสุขภาพที่ 12,Internal Medicine,143.0,4885260,2.9271727605081406
60,2015,เขตสุขภาพที่ 12,Neurosurgery,16.0,4885260,0.3275158333435682
61,2015,เขตสุขภาพที่ 12,Ophthalmology,39.0,4885260,0.7983198437749475
62,2015,เขตสุขภาพที่ 12,Orthopedic,60.0,4885260,1.2281843750383807
63,2015,เขตสุขภาพที่ 12,Otolaryngology,41.0,4885260,0.8392593229428935
64,2015,เขตสุขภาพที่ 12,Pathology,23.0,4885260,0.47080401043137926
65,2015,เขตสุขภาพที่ 12,Pediatrics,92.0,4885260,1.883216041725517
66,2015,เขตสุขภาพที่ 12,Physician,1317.0,4885260,26.958647032092458
67,2015,เขตสุขภาพที่ 12,Preventive Medicine,19.0,4885260,0.3889250520954872
68,2015,เขตสุขภาพที่ 12,Psychiatry,29.0,4885260,0.5936224479352173
69,2015,เขตสุขภาพที่ 12,Radiology,53.0,4885260,1.0848961979505696
70,2015,เขตสุขภาพที่ 12,Rehabilitation Medicine,13.0,4885260,0.26610661459164914
71,2015,เขตสุขภาพที่ 12,Surgery,89.0,4885260,1.821806822973598
72,2015,เขตสุขภาพที่ 13,Anesthesiology,141.0,5696409,2.475243614003138
73,2015,เขตสุขภาพที่ 13,Emergency Medicine,24.0,5696409,0.4213180619579809
74,2015,เขตสุขภาพที่ 13,Family Medicine,84.0,5696409,1.4746132168529331
75,2015,เขตสุขภาพที่ 13,General Practitioner,97.0,5696409,1.702827167080173
76,2015,เขตสุขภาพที่ 13,Gynecology,156.0,5696409,2.738567402726876
77,2015,เขตสุขภาพที่ 13,Internal Medicine,560.0,5696409,9.830754779019555
78,2015,เขตสุขภาพที่ 13,Neurosurgery,40.0,5696409,0.7021967699299682
79,2015,เขตสุขภาพที่ 13,Ophthalmology,110.0,5696409,1.9310411173074125
80,2015,เขตสุขภาพที่ 13,Orthopedic,103.0,5696409,1.808156682569668
81,2015,เขตสุขภาพที่ 13,Otolaryngology,79.0,5696409,1.3868386206116872
82,2015,เขตสุขภาพที่ 13,Pathology,65.0,5696409,1.1410697511361982
83,2015,เขตสุขภาพที่ 13,Pediatrics,202.0,5696409,3.5460936881463394
84,2015,เขตสุขภาพที่ 13,Physician,2361.0,5696409,41.44716434511637
85,2015,เขตสุขภาพที่ 13,Preventive Medicine,7.0,5696409,0.12288443473774444
86,2015,เขตสุขภาพที่ 13,Psychiatry,96.0,5696409,1.6852722478319235
87,2015,เขตสุขภาพที่ 13,Radiology,201.0,5696409,3.5285387688980903
88,2015,เขตสุขภาพที่ 13,Rehabilitation Medicine,60.0,5696409,1.0532951548949523
89,2015,เขตสุขภาพที่ 13,Surgery,274.0,5696409,4.810047874020282
90,2015,เขตสุขภาพที่ 2,Anesthesiology,22.0,3540252,0.6214246895418744
91,2015,เขตสุขภาพที่ 2,Emergency Medicine,6.0,3540252,0.16947946078414755
92,2015,เขตสุขภาพที่ 2,Family Medicine,37.0,3540252,1.0451233415022432
93,2015,เขตสุขภาพที่ 2,General Practitioner,97.0,3540252,2.739917949343719
94,2015,เขตสุขภาพที่ 2,Gynecology,22.0,3540252,0.6214246895418744
95,2015,เขตสุขภาพที่ 2,Internal Medicine,142.0,3540252,4.011013905224826
96,2015,เขตสุขภาพที่ 2,Neurosurgery,5.0,3540252,0.14123288398678963
97,2015,เขตสุขภาพที่ 2,Ophthalmology,18.0,3540252,0.5084383823524427
98,2015,เขตสุขภาพที่ 2,Orthopedic,16.0,3540252,0.4519452287577268
99,2015,เขตสุขภาพที่ 2,Otolaryngology,9.0,3540252,0.2542191911762213
100,2015,เขตสุขภาพที่ 2,Pathology,9.0,3540252,0.2542191911762213
101,2015,เขตสุขภาพที่ 2,Pediatrics,39.0,3540252,1.1016164950969591
102,2015,เขตสุขภาพที่ 2,Physician,612.0,3540252,17.28690499998305
103,2015,เขตสุขภาพที่ 2,Preventive Medicine,9.0,3540252,0.2542191911762213
104,2015,เขตสุขภาพที่ 2,Psychiatry,7.0,3540252,0.19772603758150548
105,2015,เขตสุขภาพที่ 2,Radiology,32.0,3540252,0.9038904575154536
106,2015,เขตสุขภาพที่ 2,Rehabilitation Medicine,2.0,3540252,0.05649315359471585
107,2015,เขตสุขภาพที่ 2,Surgery,31.0,3540252,0.8756438807180957
108,2015,เขตสุขภาพที่ 3,Anesthesiology,14.0,3010618,0.46502080303778165
109,2015,เขตสุขภาพที่ 3,Emergency Medicine,5.0,3010618,0.16607885822777915
110,2015,เขตสุขภาพที่ 3,Family Medicine,20.0,3010618,0.6643154329111166
111,2015,เขตสุขภาพที่ 3,General Practitioner,34.0,3010618,1.1293362359488983
112,2015,เขตสุขภาพที่ 3,Gynecology,24.0,3010618,0.79717851949334
113,2015,เขตสุขภาพที่ 3,Internal Medicine,60.0,3010618,1.99294629873335
114,2015,เขตสุขภาพที่ 3,Neurosurgery,3.0,3010618,0.0996473149366675
115,2015,เขตสุขภาพที่ 3,Ophthalmology,14.0,3010618,0.46502080303778165
116,2015,เขตสุขภาพที่ 3,Orthopedic,27.0,3010618,0.8968258344300074
117,2015,เขตสุขภาพที่ 3,Otolaryngology,13.0,3010618,0.4318050313922258
118,2015,เขตสุขภาพที่ 3,Pathology,2.0,3010618,0.06643154329111166
119,2015,เขตสุขภาพที่ 3,Pediatrics,36.0,3010618,1.1957677792400099
120,2015,เขตสุขภาพที่ 3,Physician,679.0,3010618,22.55350894733241
121,2015,เขตสุขภาพที่ 3,Preventive Medicine,7.0,3010618,0.23251040151889082
122,2015,เขตสุขภาพที่ 3,Psychiatry,8.0,3010618,0.26572617316444663
123,2015,เขตสุขภาพที่ 3,Radiology,7.0,3010618,0.23251040151889082
124,2015,เขตสุขภาพที่ 3,Rehabilitation Medicine,5.0,3010618,0.16607885822777915
125,2015,เขตสุขภาพที่ 3,Surgery,74.0,3010618,2.4579671017711315
126,2015,เขตสุขภาพที่ 4,Anesthesiology,55.0,5245824,1.048453017104653
127,2015,เขตสุขภาพที่ 4,Emergency Medicine,33.0,5245824,0.6290718102627918
128,2015,เขตสุขภาพที่ 4,Family Medicine,63.0,5245824,1.2009552741380571
129,2015,เขตสุขภาพที่ 4,General Practitioner,132.0,5245824,2.516287241051167
130,2015,เขตสุขภาพที่ 4,Gynecology,117.0,5245824,2.2303455091135347
131,2015,เขตสุขภาพที่ 4,Internal Medicine,360.0,5245824,6.862601566503184
132,2015,เขตสุขภาพที่ 4,Neurosurgery,24.0,5245824,0.45750677110021226
133,2015,เขตสุขภาพที่ 4,Ophthalmology,87.0,5245824,1.6584620452382695
134,2015,เขตสุขภาพที่ 4,Orthopedic,181.0,5245824,3.4503635653807674
135,2015,เขตสุขภาพที่ 4,Otolaryngology,54.0,5245824,1.0293902349754775
136,2015,เขตสุขภาพที่ 4,Pathology,28.0,5245824,0.5337578996169143
137,2015,เขตสุขภาพที่ 4,Pediatrics,179.0,5245824,3.4122380011224163
138,2015,เขตสุขภาพที่ 4,Physician,2414.0,5245824,46.01755605982968
139,2015,เขตสุขภาพที่ 4,Preventive Medicine,14.0,5245824,0.26687894980845717
140,2015,เขตสุขภาพที่ 4,Psychiatry,72.0,5245824,1.3725203133006367
141,2015,เขตสุขภาพที่ 4,Radiology,70.0,5245824,1.3343947490422858
142,2015,เขตสุขภาพที่ 4,Rehabilitation Medicine,24.0,5245824,0.45750677110021226
143,2015,เขตสุขภาพที่ 4,Surgery,164.0,5245824,3.1262962691847838
144,2015,เขตสุขภาพที่ 5,Anesthesiology,28.0,5252208,0.5331091228679443
145,2015,เขตสุขภาพที่ 5,Emergency Medicine,13.0,5252208,0.24751494990297412
146,2015,เขตสุขภาพที่ 5,Family Medicine,18.0,5252208,0.3427130075579642
147,2015,เขตสุขภาพที่ 5,General Practitioner,117.0,5252208,2.2276345491267673
148,2015,เขตสุขภาพที่ 5,Gynecology,60.0,5252208,1.1423766918598806
149,2015,เขตสุขภาพที่ 5,Internal Medicine,146.0,5252208,2.7797832835257092
150,2015,เขตสุขภาพที่ 5,Neurosurgery,13.0,5252208,0.24751494990297412
151,2015,เขตสุขภาพที่ 5,Ophthalmology,36.0,5252208,0.6854260151159284
152,2015,เขตสุขภาพที่ 5,Orthopedic,57.0,5252208,1.0852578572668865
153,2015,เขตสุขภาพที่ 5,Otolaryngology,27.0,5252208,0.5140695113369462
154,2015,เขตสุขภาพที่ 5,Pathology,12.0,5252208,0.22847533837197612
155,2015,เขตสุขภาพที่ 5,Pediatrics,67.0,5252208,1.2756539725768667
156,2015,เขตสุขภาพที่ 5,Physician,1593.0,5252208,30.33010116887983
157,2015,เขตสุขภาพที่ 5,Preventive Medicine,5.0,5252208,0.09519805765499005
158,2015,เขตสุขภาพที่ 5,Psychiatry,9.0,5252208,0.1713565037789821
159,2015,เขตสุขภาพที่ 5,Radiology,24.0,5252208,0.45695067674395223
160,2015,เขตสุขภาพที่ 5,Rehabilitation Medicine,9.0,5252208,0.1713565037789821
161,2015,เขตสุขภาพที่ 5,Surgery,67.0,5252208,1.2756539725768667
162,2015,เขตสุขภาพที่ 6,Anesthesiology,43.0,5923839,0.7258806324749879
163,2015,เขตสุขภาพที่ 6,Emergency Medicine,20.0,5923839,0.3376188988255758
164,2015,เขตสุขภาพที่ 6,Family Medicine,44.0,5923839,0.7427615774162667
165,2015,เขตสุขภาพที่ 6,General Practitioner,230.0,5923839,3.882617336494121
166,2015,เขตสุขภาพที่ 6,Gynecology,98.0,5923839,1.6543326042453212
167,2015,เขตสุขภาพที่ 6,Internal Medicine,258.0,5923839,4.355283794849927
168,2015,เขตสุขภาพที่ 6,Neurosurgery,21.0,5923839,0.35449984376685456
169,2015,เขตสุขภาพที่ 6,Ophthalmology,46.0,5923839,0.7765234672988243
170,2015,เขตสุขภาพที่ 6,Orthopedic,88.0,5923839,1.4855231548325334
171,2015,เขตสุขภาพที่ 6,Otolaryngology,33.0,5923839,0.5570711830622
172,2015,เขตสุขภาพที่ 6,Pathology,17.0,5923839,0.2869760640017394
173,2015,เขตสุขภาพที่ 6,Pediatrics,94.0,5923839,1.586808824480206
174,2015,เขตสุขภาพที่ 6,Physician,1946.0,5923839,32.850318855728524
175,2015,เขตสุขภาพที่ 6,Preventive Medicine,21.0,5923839,0.35449984376685456
176,2015,เขตสุขภาพที่ 6,Psychiatry,31.0,5923839,0.5233092931796425
177,2015,เขตสุขภาพที่ 6,Radiology,35.0,5923839,0.5908330729447576
178,2015,เขตสุขภาพที่ 6,Rehabilitation Medicine,19.0,5923839,0.320737953884297
179,2015,เขตสุขภาพที่ 6,Surgery,143.0,5923839,2.4139751266028666
180,2015,เขตสุขภาพที่ 7,Anesthesiology,41.0,5055979,0.8109210896643361
181,2015,เขตสุขภาพที่ 7,Emergency Medicine,11.0,5055979,0.2175641947879926
182,2015,เขตสุขภาพที่ 7,Family Medicine,47.0,5055979,0.9295924686396048
183,2015,เขตสุขภาพที่ 7,General Practitioner,186.0,5055979,3.6788127482333293
184,2015,เขตสุขภาพที่ 7,Gynecology,66.0,5055979,1.3053851687279556
185,2015,เขตสุขภาพที่ 7,Internal Medicine,124.0,5055979,2.452541832155553
186,2015,เขตสุขภาพที่ 7,Neurosurgery,8.0,5055979,0.15822850530035826
187,2015,เขตสุขภาพที่ 7,Ophthalmology,25.0,5055979,0.49446407906361955
188,2015,เขตสุขภาพที่ 7,Orthopedic,58.0,5055979,1.1471566634275974
189,2015,เขตสุขภาพที่ 7,Otolaryngology,18.0,5055979,0.3560141369258061
190,2015,เขตสุขภาพที่ 7,Pathology,7.0,5055979,0.13844994213781348
191,2015,เขตสุขภาพที่ 7,Pediatrics,67.0,5055979,1.3251637318905003
192,2015,เขตสุขภาพที่ 7,Physician,1169.0,5055979,23.12114033701485
193,2015,เขตสุขภาพที่ 7,Preventive Medicine,23.0,5055979,0.45490695273853
194,2015,เขตสุขภาพที่ 7,Psychiatry,18.0,5055979,0.3560141369258061
195,2015,เขตสุขภาพที่ 7,Radiology,26.0,5055979,0.5142426422261643
196,2015,เขตสุขภาพที่ 7,Rehabilitation Medicine,8.0,5055979,0.15822850530035826
197,2015,เขตสุขภาพที่ 7,Surgery,80.0,5055979,1.5822850530035826
198,2015,เขตสุขภาพที่ 8,Anesthesiology,9.0,5522408,0.16297238451052512
199,2015,เขตสุขภาพที่ 8,Emergency Medicine,4.0,5522408,0.07243217089356672
200,2015,เขตสุขภาพที่ 8,Family Medicine,25.0,5522408,0.452701068084792
201,2015,เขตสุขภาพที่ 8,General Practitioner,111.0,5522408,2.0099927422964763
202,2015,เขตสุขภาพที่ 8,Gynecology,39.0,5522408,0.7062136662122755
203,2015,เขตสุขภาพที่ 8,Internal Medicine,69.0,5522408,1.249454947914026
204,2015,เขตสุขภาพที่ 8,Neurosurgery,6.0,5522408,0.10864825634035008
205,2015,เขตสุขภาพที่ 8,Ophthalmology,16.0,5522408,0.2897286835742669
206,2015,เขตสุขภาพที่ 8,Orthopedic,21.0,5522408,0.38026889719122525
207,2015,เขตสุขภาพที่ 8,Otolaryngology,12.0,5522408,0.21729651268070016
208,2015,เขตสุขภาพที่ 8,Pathology,2.0,5522408,0.03621608544678336
209,2015,เขตสุขภาพที่ 8,Pediatrics,31.0,5522408,0.5613493244251421
210,2015,เขตสุขภาพที่ 8,Physician,775.0,5522408,14.033733110628551
211,2015,เขตสุขภาพที่ 8,Preventive Medicine,9.0,5522408,0.16297238451052512
212,2015,เขตสุขภาพที่ 8,Psychiatry,9.0,5522408,0.16297238451052512
213,2015,เขตสุขภาพที่ 8,Radiology,11.0,5522408,0.1991884699573085
214,2015,เขตสุขภาพที่ 8,Rehabilitation Medicine,4.0,5522408,0.07243217089356672
215,2015,เขตสุขภาพที่ 8,Surgery,44.0,5522408,0.796753879829234
216,2015,เขตสุขภาพที่ 9,Anesthesiology,15.0,6746755,0.22232910488079083
217,2015,เขตสุขภาพที่ 9,Emergency Medicine,4.0,6746755,0.05928776130154422
218,2015,เขตสุขภาพที่ 9,Family Medicine,40.0,6746755,0.5928776130154422
219,2015,เขตสุขภาพที่ 9,General Practitioner,159.0,6746755,2.3566885117363827
220,2015,เขตสุขภาพที่ 9,Gynecology,43.0,6746755,0.6373434339916004
221,2015,เขตสุขภาพที่ 9,Internal Medicine,61.0,6746755,0.9041383598485494
222,2015,เขตสุขภาพที่ 9,Neurosurgery,4.0,6746755,0.05928776130154422
223,2015,เขตสุขภาพที่ 9,Ophthalmology,16.0,6746755,0.23715104520617689
224,2015,เขตสุขภาพที่ 9,Orthopedic,25.0,6746755,0.3705485081346514
225,2015,เขตสุขภาพที่ 9,Otolaryngology,15.0,6746755,0.22232910488079083
226,2015,เขตสุขภาพที่ 9,Pathology,4.0,6746755,0.05928776130154422
227,2015,เขตสุขภาพที่ 9,Pediatrics,42.0,6746755,0.6225214936662143
228,2015,เขตสุขภาพที่ 9,Physician,950.0,6746755,14.080843309116753
229,2015,เขตสุขภาพที่ 9,Preventive Medicine,27.0,6746755,0.4001923887854235
230,2015,เขตสุขภาพที่ 9,Psychiatry,5.0,6746755,0.07410970162693027
231,2015,เขตสุขภาพที่ 9,Radiology,18.0,6746755,0.266794925856949
232,2015,เขตสุขภาพที่ 9,Rehabilitation Medicine,7.0,6746755,0.10375358227770239
233,2015,เขตสุขภาพที่ 9,Surgery,42.0,6746755,0.6225214936662143
234,2016,เขตสุขภาพที่ 1,Anesthesiology,81.0,5857953,1.3827355733308206
235,2016,เขตสุขภาพที่ 1,Emergency Medicine,28.0,5857953,0.4779826673242343
236,2016,เขตสุขภาพที่ 1,Family Medicine,132.0,5857953,2.253346860242819
237,2016,เขตสุขภาพที่ 1,General Practitioner,265.0,5857953,4.523764530032931
238,2016,เขตสุขภาพที่ 1,Gynecology,147.0,5857953,2.50940900345223
239,2016,เขตสุขภาพที่ 1,Internal Medicine,283.0,5857953,4.831039101884225
240,2016,เขตสุขภาพที่ 1,Neurosurgery,22.0,5857953,0.3755578100404698
241,2016,เขตสุขภาพที่ 1,Ophthalmology,66.0,5857953,1.1266734301214094
242,2016,เขตสุขภาพที่ 1,Orthopedic,108.0,5857953,1.8436474311077606
243,2016,เขตสุขภาพที่ 1,Otolaryngology,45.0,5857953,0.7681864296282337
244,2016,เขตสุขภาพที่ 1,Pathology,54.0,5857953,0.9218237155538803
245,2016,เขตสุขภาพที่ 1,Pediatrics,141.0,5857953,2.4069841461684653
246,2016,เขตสุขภาพที่ 1,Physician,2780.0,5857953,47.45685054147754
247,2016,เขตสุขภาพที่ 1,Preventive Medicine,57.0,5857953,0.9730361441957626
248,2016,เขตสุขภาพที่ 1,Psychiatry,67.0,5857953,1.1437442396687034
249,2016,เขตสุขภาพที่ 1,Radiology,86.0,5857953,1.468089621067291
250,2016,เขตสุขภาพที่ 1,Rehabilitation Medicine,24.0,5857953,0.4096994291350579
251,2016,เขตสุขภาพที่ 1,Surgery,172.0,5857953,2.936179242134582
252,2016,เขตสุขภาพที่ 10,Anesthesiology,69.0,4599715,1.5000929405408814
253,2016,เขตสุขภาพที่ 10,Emergency Medicine,10.0,4599715,0.2174047739914321
254,2016,เขตสุขภาพที่ 10,Family Medicine,46.0,4599715,1.0000619603605876
255,2016,เขตสุขภาพที่ 10,General Practitioner,144.0,4599715,3.130628745476622
256,2016,เขตสุขภาพที่ 10,Gynecology,65.0,4599715,1.4131310309443086
257,2016,เขตสุขภาพที่ 10,Internal Medicine,195.0,4599715,4.239393092832926
258,2016,เขตสุขภาพที่ 10,Neurosurgery,9.0,4599715,0.19566429659228887
259,2016,เขตสุขภาพที่ 10,Ophthalmology,32.0,4599715,0.6956952767725827
260,2016,เขตสุขภาพที่ 10,Orthopedic,58.0,4599715,1.2609476891503062
261,2016,เขตสุขภาพที่ 10,Otolaryngology,33.0,4599715,0.7174357541717259
262,2016,เขตสุขภาพที่ 10,Pathology,13.0,4599715,0.2826262061888617
263,2016,เขตสุขภาพที่ 10,Pediatrics,111.0,4599715,2.4131929913048964
264,2016,เขตสุขภาพที่ 10,Physician,1363.0,4599715,29.632270695032194
265,2016,เขตสุขภาพที่ 10,Preventive Medicine,18.0,4599715,0.39132859318457774
266,2016,เขตสุขภาพที่ 10,Psychiatry,12.0,4599715,0.2608857287897185
267,2016,เขตสุขภาพที่ 10,Radiology,38.0,4599715,0.8261381411674419
268,2016,เขตสุขภาพที่ 10,Rehabilitation Medicine,8.0,4599715,0.17392381919314567
269,2016,เขตสุขภาพที่ 10,Surgery,138.0,4599715,3.0001858810817628
270,2016,เขตสุขภาพที่ 11,Anesthesiology,28.0,4427782,0.6323707897091592
271,2016,เขตสุขภาพที่ 11,Emergency Medicine,10.0,4427782,0.22584671061041398
272,2016,เขตสุขภาพที่ 11,Family Medicine,38.0,4427782,0.8582175003195731
273,2016,เขตสุขภาพที่ 11,General Practitioner,123.0,4427782,2.777914540508092
274,2016,เขตสุขภาพที่ 11,Gynecology,69.0,4427782,1.5583423032118564
275,2016,เขตสุขภาพที่ 11,Internal Medicine,167.0,4427782,3.7716400671939136
276,2016,เขตสุขภาพที่ 11,Neurosurgery,14.0,4427782,0.3161853948545796
277,2016,เขตสุขภาพที่ 11,Ophthalmology,43.0,4427782,0.9711408556247801
278,2016,เขตสุขภาพที่ 11,Orthopedic,53.0,4427782,1.196987566235194
279,2016,เขตสุขภาพที่ 11,Otolaryngology,43.0,4427782,0.9711408556247801
280,2016,เขตสุขภาพที่ 11,Pathology,12.0,4427782,0.2710160527324968
281,2016,เขตสุขภาพที่ 11,Pediatrics,89.0,4427782,2.0100357244326843
282,2016,เขตสุขภาพที่ 11,Physician,1756.0,4427782,39.6586823831887
283,2016,เขตสุขภาพที่ 11,Preventive Medicine,23.0,4427782,0.5194474344039521
284,2016,เขตสุขภาพที่ 11,Psychiatry,27.0,4427782,0.6097861186481177
285,2016,เขตสุขภาพที่ 11,Radiology,44.0,4427782,0.9937255266858215
286,2016,เขตสุขภาพที่ 11,Rehabilitation Medicine,12.0,4427782,0.2710160527324968
287,2016,เขตสุขภาพที่ 11,Surgery,80.0,4427782,1.8067736848833118
288,2016,เขตสุขภาพที่ 12,Anesthesiology,46.0,4913380,0.9362190589777302
289,2016,เขตสุขภาพที่ 12,Emergency Medicine,21.0,4913380,0.4274043530115725
290,2016,เขตสุขภาพที่ 12,Family Medicine,55.0,4913380,1.119392353125547
291,2016,เขตสุขภาพที่ 12,General Practitioner,135.0,4913380,2.7475994122172516
292,2016,เขตสุขภาพที่ 12,Gynecology,115.0,4913380,2.3405476474443256
293,2016,เขตสุขภาพที่ 12,Internal Medicine,251.0,4913380,5.108499647900223
294,2016,เขตสุขภาพที่ 12,Neurosurgery,29.0,4913380,0.590225058920743
295,2016,เขตสุขภาพที่ 12,Ophthalmology,54.0,4913380,1.0990397648869006
296,2016,เขตสุขภาพที่ 12,Orthopedic,93.0,4913380,1.8927907061941067
297,2016,เขตสุขภาพที่ 12,Otolaryngology,97.0,4913380,1.9742010591486918
298,2016,เขตสุขภาพที่ 12,Pathology,24.0,4913380,0.4884621177275114
299,2016,เขตสุขภาพที่ 12,Pediatrics,136.0,4913380,2.7679520004558977
300,2016,เขตสุขภาพที่ 12,Physician,2644.0,4913380,53.81224330298084
301,2016,เขตสุขภาพที่ 12,Preventive Medicine,26.0,4913380,0.529167294204804
302,2016,เขตสุขภาพที่ 12,Psychiatry,41.0,4913380,0.8344561177844987
303,2016,เขตสุขภาพที่ 12,Radiology,69.0,4913380,1.4043285884665953
304,2016,เขตสุขภาพที่ 12,Rehabilitation Medicine,24.0,4913380,0.4884621177275114
305,2016,เขตสุขภาพที่ 12,Surgery,133.0,4913380,2.706894235739959
306,2016,เขตสุขภาพที่ 13,Anesthesiology,186.0,5686646,3.2708207966523677
307,2016,เขตสุขภาพที่ 13,Emergency Medicine,39.0,5686646,0.6858172638142062
308,2016,เขตสุขภาพที่ 13,Family Medicine,109.0,5686646,1.9167713270704736
309,2016,เขตสุขภาพที่ 13,General Practitioner,84.0,5686646,1.477144875907521
310,2016,เขตสุขภาพที่ 13,Gynecology,276.0,5686646,4.853476020838998
311,2016,เขตสุขภาพที่ 13,Internal Medicine,727.0,5686646,12.784337199818664
312,2016,เขตสุขภาพที่ 13,Neurosurgery,54.0,5686646,0.9495931345119778
313,2016,เขตสุขภาพที่ 13,Ophthalmology,152.0,5686646,2.672928823070752
314,2016,เขตสุขภาพที่ 13,Orthopedic,160.0,5686646,2.813609287442897
315,2016,เขตสุขภาพที่ 13,Otolaryngology,107.0,5686646,1.8816012109774374
316,2016,เขตสุขภาพที่ 13,Pathology,76.0,5686646,1.336464411535376
